
0.2 		=	1
.4		=	2
.6		= 	3
.8		=	4
1 		=	5
1.2		=	6
1.4		=	7
1.6		=	8
1.8		=	9
2.0		=	10
2.2		=	11
2.4		=	12
2.6		=	13
2.8		=	14
3.0		=	15
3.2		=	16
3.4		=	17
3.6		=	18
3.8		=	19
4.0		=	20
4.2		=	21
4.4		=	22
4.6		=	23
4.8		=	24
5.0		=	25
5.2		=	26
5.4		=	27
5.6		=	28
5.8		=	29
6.0		=	30
6.2		=	31
6.4		=	32
6.6		=	33
6.8		=	34
7.0		=	35
7.2		=	36
7.4		=	37
7.6		=	38
7.8		=	39
8.0		=	40
8.2		=	41
8.4		=	42
8.6		=	43
8.8.		=	44
9.		=	45
9.2		=	46
9.4		=	47
9.6		=	48
9.8		=	49	
10.		=	50
10.2		=	51
10.4		=	52
10.6		=	53
10.8		=	54
11		=	55
11.2		=	56
11.4		=	57
11.6		=	58
11.8		=	59
12		=	60	
